City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vaitape,-16.5167,-151.75,27.7,73,45,2.95,PF,1684205650
84,lazaro cardenas,17.9583,-102.2,26.98,69,0,1.54,MX,1684205651
85,bengkulu,-3.8004,102.2655,28.7,70,87,2.28,ID,1684205651
86,talnakh,69.4865,88.3972,-1.55,82,66,2.9,RU,1684205651
87,chara,56.9064,118.2631,3.36,49,100,1.75,RU,1684205651
88,hualmay,-11.0964,-77.6139,21.6,79,98,4.83,PE,1684205652
89,motygino,58.1831,94.7592,6.74,40,100,1.29,RU,1684205652
90,melo,-32.3667,-54.1833,12.78,90,0,2.15,UY,1684205652
91,busselton,-33.65,115.3333,18.36,55,0,2.57,AU,1684205652
92,russell,32.3502,-85.1999,23.63,88,0,0.0,US,1684205653
93,maraa,-1.8333,-65.3667,23.57,99,100,0.82,BR,1684205653
94,amapa,1.0,-52.0,23.02,99,100,0.74,BR,1684205653
95,iqaluit,63.7506,-68.5145,-2.39,63,75,4.12,CA,1684205551
96,olafsvik,64.8945,-23.7142,3.8,76,100,5.01,IS,1684205654
97,erenhot,43.6475,111.9767,16.92,19,21,8.68,CN,1684205654
98,bredasdorp,-34.5322,20.0403,10.83,89,24,1.29,ZA,1684205654
99,broken hill,-31.95,141.4333,19.27,29,0,6.38,AU,1684205655
100,yulara,-25.2406,130.9889,21.74,26,43,5.31,AU,1684205655
101,grand gaube,-20.0064,57.6608,24.65,76,25,1.34,MU,1684205655
102,balykshi,47.0667,51.8667,11.0,50,0,3.0,KZ,1684205656
103,santa lucia,27.9117,-15.5407,15.62,68,40,8.23,ES,1684205656
104,vardo,70.3705,31.1107,9.99,66,35,6.69,NO,1684205656
105,bac lieu,9.285,105.7244,32.6,55,9,4.09,VN,1684205656
106,nikolsk,53.7189,46.0712,8.97,87,60,1.65,RU,1684205657
107,surt,31.2089,16.5887,18.12,63,0,6.35,LY,1684205657
108,couvin,50.0528,4.495,7.18,96,70,4.8,BE,1684205657
109,sao joao da barra,-21.6403,-41.0511,19.41,86,100,3.47,BR,1684205657
110,lumeje,-11.55,20.7833,16.51,61,45,1.75,AO,1684205658
111,pasighat,28.0667,95.3333,20.93,93,99,1.1,IN,1684205658
112,carnarvon,-24.8667,113.6333,23.09,34,0,3.66,AU,1684205658
113,camacha,33.0833,-16.3333,16.68,77,40,7.2,PT,1684205659
114,qaanaaq,77.484,-69.3632,-10.84,67,28,3.2,GL,1684205659
115,formosa do rio preto,-11.0483,-45.1931,23.82,74,98,0.56,BR,1684205659
116,sebeta,8.9167,38.6167,14.02,83,86,0.68,ET,1684205659
117,kaitangata,-46.2817,169.8464,16.63,53,4,2.23,NZ,1684205660
118,nantucket,41.2835,-70.0995,12.25,79,0,9.26,US,1684205580
119,tatawin,32.9297,10.4518,15.45,55,1,1.24,TN,1684205660
120,lebanon,36.2081,-86.2911,21.69,91,0,3.09,US,1684205514
121,luanda,-8.8368,13.2343,26.0,61,20,2.57,AO,1684205538
122,fukue,32.6881,128.8419,23.2,83,20,4.12,JP,1684205661
123,chardara,41.2547,67.9692,24.79,39,99,7.0,KZ,1684205661
124,sile,41.1754,29.6133,11.98,76,95,2.84,TR,1684205662
125,maksatikha,57.797,35.8825,9.85,77,0,1.7,RU,1684205662
126,mezen,65.8522,44.24,12.09,70,0,2.23,RU,1684205662
127,hilo,19.7297,-155.09,21.52,90,100,2.06,US,1684205663
128,ribeira grande,38.5167,-28.7,18.21,96,77,3.13,PT,1684205663
129,edgewater,28.9889,-80.9023,23.62,75,100,3.6,US,1684205664
130,lavrentiya,65.5833,-171.0,-6.45,77,40,5.64,RU,1684205664
131,batu,-7.87,112.5283,24.89,61,33,0.37,ID,1684205664
132,kavaratti,10.5669,72.642,29.43,69,95,3.73,IN,1684205664
133,ponta do sol,32.6667,-17.1,17.93,75,47,0.78,PT,1684205664
134,saint-pierre,-21.3393,55.4781,22.8,73,0,3.09,RE,1684205665
135,mount isa,-20.7333,139.5,25.87,34,97,5.14,AU,1684205665
136,lagoa,39.05,-27.9833,16.9,91,69,5.86,PT,1684205665
137,aklavik,68.2191,-135.0107,16.11,48,96,2.25,CA,1684205666
138,sola,-13.8833,167.55,27.09,78,54,10.36,VU,1684205666
139,feijo,-8.1642,-70.3536,23.23,87,89,1.01,BR,1684205666
140,santa marta,11.2408,-74.199,30.03,74,75,1.03,CO,1684205611
141,richards bay,-28.783,32.0377,15.56,84,2,2.72,ZA,1684205667
142,lompoc,34.6391,-120.4579,14.48,87,100,3.6,US,1684205552
143,hay river,60.8156,-115.7999,6.99,76,20,6.69,CA,1684205667
144,rocha,-34.4833,-54.3333,10.58,90,5,1.14,UY,1684205668
145,upernavik,72.7868,-56.1549,-10.81,92,6,2.74,GL,1684205668
146,whyalla,-33.0333,137.5833,17.51,64,49,4.53,AU,1684205668
